rank,name,age,team,position
692,Jake Oettinger,26,DAL,G
693,Isaak Phillips,23,CHI,D
694,Noah Philp,26,EDM,F
695,Samuel Poulin,23,PIT,RW
696,Ryan Reaves,38,TOR,RW
697,Calum Ritchie,20,COL,C
698,Chad Ruhwedel,34,NYR,D
699,Juuse Saros,29,NSH,G
700,Devin Shore,30,MIN,C
701,Jack St. Ivany,25,PIT,D
702,Mitchell Stephens,27,SEA,C
703,Daniil Tarasov,25,CBJ,G
704,T.J. Tynan,32,COL,C
705,Linus Ullmark,31,OTT,G
706,Urho Vaakanainen,26,NYR,D
707,Vítek Vaněček,29,SJS,G
708,Daniel Vladař,27,CGY,G
709,Chris Wagner,33,COL,C
710,Ryan Winterton,21,SEA,C
711,Alexander Alexeyev,25,WSH,D
712,Jake Allen,34,NJD,G
713,Frederik Andersen,35,CAR,G
714,Justus Annunen,24,NSH,G
715,Rasmus Asplund,27,FLA,F
716,Andreas Athanasiou,30,CHI,C
717,Alex Barré-Boulet,27,MTL,F
718,Matt Benning,30,SJS,D
719,Jordan Binnington,31,STL,G
720,Mackenzie Blackwood,28,SJS,G
721,Joel Blomqvist,23,PIT,G
722,Matěj Blümel,24,DAL,RW
723,Sergei Bobrovsky,36,FLA,G
724,Samuel Bolduc,24,NYI,D
